main_artist,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%
Taylor Swift,25.97770142261811,31.321429250575235,46.26168224299066,3.116231135781558,21.323529411764707,53.31066860935729,61.49659863945578,45.28703047484055,14.595103578154422,22.65023112480739,53.67324855574037,4.523107177974435,39.38053097345134,19.689673622257892
The Weeknd,49.45823985277126,53.933817237317655,65.41560658168942,12.688387090191119,26.859861591695502,79.52404079650314,48.47539015606242,44.31150206361778,43.668993020937194,50.004531858968534,36.62748675152842,7.496095783446123,72.1759500260281,24.974034557643286
Bad Bunny,45.218610343186,22.64247817901763,54.6973484025212,2.4284185962910088,47.85067873303168,40.493891732357,49.73312401883828,81.39889876247071,62.97262059973926,62.545928647623526,43.31705746633041,17.154526889040163,65.41865214431589,31.143762604436766
SZA,14.010545577608596,28.023871001346834,47.67985220604217,1.6427624886372156,15.537084398976985,19.85978841565133,43.9751552795031,45.28703047484055,60.28002947678701,13.686608159710602,99.99999999999999,12.928049249711428,62.75490573297422,31.30016051364366
Kendrick Lamar,9.890343285077385,12.739881984388605,0.0,3.984128258717901,0.0,31.009143315666112,57.81721384205855,61.70461898745879,61.01694915254237,30.247203054866986,83.38251864570478,0.30781069642170067,37.822239322816486,100.0
Drake,28.2703915133337,49.70860318689931,42.591427492879134,8.19529155122534,0.6965944272445821,19.961146187469645,84.6831364124597,80.20067887649671,1.7841213202497812,16.859946476360363,0.0,0.7452258965999068,91.98882161155099,82.19143364028048
Harry Styles,54.51668791297808,76.67998912726136,21.583223595893482,7.889254290534924,59.169550173010386,16.23118018455561,72.31692677070828,48.73890023762871,81.35593220338981,32.38466418925043,87.45443125471468,11.244143675169182,21.811556480999485,10.351556352878228
Feid,10.261552681072615,10.872268811683496,31.48989350141274,0.9899696948052613,50.294117647058826,33.249150072850895,53.387755102040785,83.55776045357902,96.045197740113,64.62249614791983,14.085242617731751,0.0,44.424778761061944,30.601034421259143
Ed Sheeran,98.71966133156067,100.0,37.782756257001,48.904860840209764,43.77828054298642,89.26221908252019,39.18367346938777,73.54849261298588,76.40156453715775,46.18940381652243,66.04356098909943,0.0,37.84887678692989,9.750174918714245
Morgan Wallen,0.0,0.0,38.66958269941318,0.0,1.1029411764705883,51.627003399708585,100.0,40.6094968107725,100.0,100.0,34.524065031925744,0.0,87.16814159292035,0.0
Eminem,100.0,58.71222925818168,42.51249728319931,100.0,19.11764705882353,29.93362473692731,57.68707482993199,95.46420978029767,58.38041431261769,88.70056497175142,2.152826217858143,0.0,87.61061946902656,64.94857618453123
BTS,38.420983446547794,41.80310723182535,100.0,3.9906941624236,5.882352941176471,10.199125789218066,51.700680272108855,64.56413890857547,99.8116760828625,77.6065742167437,6.321355964538878,0.0,100.00000000000001,29.39777658878782
Karol G,21.989619885859135,40.023199650103635,73.25581395348838,2.8437904962093,100.0,100.0,65.8503401360544,100.0,96.79849340866289,61.58192090395477,97.76847728234753,0.7866273352999017,0.0,88.4667974555615
Labrinth,20.084296252668615,13.349306862912888,53.572592914583794,3.4315276062977667,0.0,0.0,0.0,0.0,0.0,0.0,77.90282770832215,100.0,73.23008849557523,32.61102193686464
Doja Cat,63.11113004616332,68.0496809368964,20.87434408668923,5.698513602353282,30.252100840336134,2.243807673627975,48.9795918367347,97.40811987445582,84.74576271186439,36.517719568567,38.29249036095632,4.04551201011378,45.63843236409609,49.399984712986324
